Id,Question,implicit_intermediate_question,implicit_answer_type,gpt_intermediate_question,gpt_answer_type,difference_type
5310,What percentage of the vote did the Left Party (Sweden) receive in the parliamentary elections after Maggi Mikaelsson's term as party secretary?,When Maggi Mikaelsson's term as party secretary of the Left Party (Sweden) ended,date,When Maggi Mikaelsson's term as party secretary of the Left Party (Sweden) ended,time interval,answer_type_different
5315,"While Javaris Crittenton was charged with the murder of Jullian Jones, which basketball team was he part of?",When Javaris Crittenton was charged with the murder of Jullian Jones,date,When Javaris Crittenton was charged with the murder of Jullian Jones,time interval,answer_type_different
5316,"During Mayor Patricia Granet-Brunello's tenure in Digne-les-Bains, who was the head of government?",When Patricia Granet-Brunello was mayor of Digne-les-Bains,time interval,When Mayor Patricia Granet-Brunello's tenure in Digne-les-Bains,time interval,intermediate_question_different
5317,Who was the last governor of the British Colony of the Gold Coast during the February when the Convention People's Party won the national elections?,When the Convention People's Party won the national elections in the Gold Coast,date,When the Convention People's Party won the national elections in the British Colony of the Gold Coast,date,intermediate_question_different
5318,What television station was Mark Thompson the Chief Executive of prior to his role as the 14th Director-General of the BBC?,When Mark Thompson became the 14th Director-General of the BBC,date,When Mark Thompson was the Chief Executive of a television station,time interval,intermediate_question_and_answer_type_different
5319,What district of the German Democratic Republic was Suhl the capital of during the government-directed period of urban growth and conversion?,When Suhl was the capital of a district in the German Democratic Republic during urban growth,time interval,During what period of government-directed urban growth and conversion was Suhl the capital of a district of the German Democratic Republic?,time interval,intermediate_question_different
5320,"At the time of Matteo Renzi's resignation as Secretary of the Democratic Party, which primary election was he re-elected in?",When Matteo Renzi resigned as Secretary of the Democratic Party,date,When Matteo Renzi resigned as Secretary of the Democratic Party,time interval,answer_type_different
5321,What was Tony Podesta's employer when he was married to Heather Podesta?,When Tony Podesta was married to Heather Podesta,time interval,When Tony Podesta was married to Heather Podesta,date,answer_type_different
5325,Who succeeded Dan Jiránek as the head of government in Kladno?,When Dan Jiránek was head of government in Kladno,time interval,When Dan Jiránek ceased to be the head of government in Kladno,time interval,intermediate_question_different
5327,During Megan Rapinoe's senior career which women's football team did she play for between the years 2011-2013?,When Megan Rapinoe's senior career included the years 2011-2013,time interval,When Megan Rapinoe played for a women's football team between the years 2011-2013,time interval,intermediate_question_different
5328,What party was Paul Golding a member of when he and Jayda Fransen were jailed for religiously aggravated harassment?,When Paul Golding and Jayda Fransen were jailed for religiously aggravated harassment,date,When Paul Golding and Jayda Fransen were jailed for religiously aggravated harassment,time interval,answer_type_different
5329,What role did Richard Wilberforce Baron Wilberforce have while he was a Justice of the High Court?,When Richard Wilberforce Baron Wilberforce was a Justice of the High Court,time interval,When Richard Wilberforce Baron Wilberforce was a Justice of the High Court,date,answer_type_different
5330,In which state was Ron Watkins living when he began attending Watkins University?,When Ron Watkins began attending Watkins University,date,When Ron Watkins began attending Watkins University,time interval,answer_type_different
5331,"When Albert Ho was in office as a Member of the Legislative Council, what functional constituency did he win with 228,840 votes?",When Albert Ho was in office as a Member of the Legislative Council,time interval,When Albert Ho entered was elected as Member of the Legislative Council,date,intermediate_question_and_answer_type_different
5333,"During the Israeli legislative election, which Faction was Binyamin Elon's Moledet representing in the Knesset?",When was the Israeli legislative election,date,When Binyamin Elon's Moledet was representing in the Knesset during the Israeli legislative election,time interval,intermediate_question_and_answer_type_different
5334,What football club did İlkay Gündoğan join after his youth career with SSV Buer?,When did İlkay Gündoğan join a football club after his youth career with SSV Buer,time interval,When İlkay Gündoğan joined SSV Buer,time interval,intermediate_question_different
5335,What position did Teresa Noce have before being a member of the Constituent Assembly of Italy?,When was Teresa Noce a member of the Constituent Assembly of Italy,time interval,When Teresa Noce was a member of the Constituent Assembly of Italy,time interval,intermediate_question_different
5336,"While Julien Gondard was Mayor of Fontainebleau, who from Agir was part of the local government?",When was Julien Gondard Mayor of Fontainebleau,time interval,When Julien Gondard was Mayor of Fontainebleau,time interval,intermediate_question_different
5337,What was the size of the Mikkeli municipality in Finland when it existed?,When did Mikkeli municipality exist,time interval,When Mikkeli municipality existed,time interval,intermediate_question_different
